State,TotalArea,LandArea,WaterArea,Pop
Alaska,665384,570641,94743,724357
Texas,268596,261232,7365,29730311
California,163696,155779,7916,39613493
Montana,147040,145546,1494,1085004
New Mexico,121590,121298,292,2105005
Arizona,113990,113594,396,7520103
Nevada,110572,109781,791,3185786
Colorado,104094,103642,452,5893634
Oregon,98379,95988,2391,4289439
Wyoming,97813,97093,720,581075
Michigan,96714,56539,40175,9992427
Minnesota,86936,79627,7309,5706398
Utah,84897,82170,2727,3310774
Idaho,83569,82643,926,1860123
Kansas,82278,81759,520,2917224
Nebraska,77348,76824,524,1951996
South Dakota,77116,75811,1305,896581
Washington,71298,66456,4842,7796941
North Dakota,70698,69001,1698,770026
Oklahoma,69899,68595,1304,3990443
Missouri,69707,68742,965,6169038
Florida,65758,53625,12133,21944577
Wisconsin,65496,54158,11339,5852490
Georgia,59425,57513,1912,10830007
Illinois,57914,55519,2395,12569321
Iowa,56273,55857,416,3167974
New York,54555,47126,7429,19299981
North Carolina,53819,48618,5201,10701022
Arkansas,53179,52035,1143,3033946
Alabama,52420,50645,1775,4934193
Louisiana,52378,43204,9174,4627002
Mississippi,48432,46923,1509,2966407
Pennsylvania,46054,44743,1312,12804123
Ohio,44826,40861,3965,11714618
Virginia,42775,39490,3285,8603985
Tennessee,42144,41235,909,6944260
Kentucky,40408,39486,921,4480713
Indiana,36420,35826,593,6805663
Maine,35380,30843,4537,1354522
South Carolina,32020,30061,1960,5277830
West Virginia,24230,24038,192,1767859
Maryland,12406,9707,2699,6065436
Hawaii,10932,6423,4509,1406430
Massachusetts,10554,7800,2754,6912239
Vermont,9616,9217,400,623251
New Hampshire,9349,8953,397,1372203
New Jersey,8723,7354,1368,8874520
Connecticut,5543,4842,701,3552821
Delaware,2489,1949,540,990334
Rhode Island,1545,1034,511,1061509
