,date,state,cases,people_fully_vaccinated,people_fully_vaccinated_per_hundred
17339,2021-01-12,Alabama,407848,7270.0,0.15
17405,2021-01-12,Alaska,50243,5400.0,0.74
17472,2021-01-12,Arizona,638739,8343.0,0.11
17538,2021-01-12,Arkansas,259553,8.0,0.0
17605,2021-01-12,California,2816280,100089.0,0.25
17671,2021-01-12,Colorado,366385,36425.0,0.63
17737,2021-01-12,Connecticut,217047,4174.0,0.12
17803,2021-01-12,Delaware,66446,2784.0,0.29
17937,2021-01-12,Florida,1503474,41725.0,0.19
18003,2021-01-12,Georgia,749417,7746.0,0.07
18201,2021-01-12,Idaho,151474,4308.0,0.24
18267,2021-01-12,Illinois,1043041,62757.0,0.5
18334,2021-01-12,Indiana,573505,23546.0,0.35
18400,2021-01-12,Iowa,299254,6099.0,0.19
18466,2021-01-12,Kansas,250646,9577.0,0.33
18532,2021-01-12,Kentucky,312316,6335.0,0.14
18599,2021-01-12,Louisiana,352939,18314.0,0.39
18665,2021-01-12,Maine,30326,4518.0,0.34
18732,2021-01-12,Maryland,312534,6663.0,0.11
18798,2021-01-12,Massachusetts,442529,19073.0,0.28
18864,2021-01-12,Michigan,567901,19472.0,0.19
18930,2021-01-12,Minnesota,438935,9798.0,0.17
18996,2021-01-12,Mississippi,241957,4832.0,0.16
19062,2021-01-12,Missouri,462085,22155.0,0.36
19128,2021-01-12,Montana,87179,5843.0,0.55
19194,2021-01-12,Nebraska,178690,8459.0,0.44
19260,2021-01-12,Nevada,253100,8761.0,0.28
19326,2021-01-12,New Hampshire,53148,5.0,0.0
19392,2021-01-12,New Jersey,594751,14306.0,0.16
19458,2021-01-12,New Mexico,157974,11335.0,0.54
19524,2021-01-12,New York,1164819,36422.0,0.19
19590,2021-01-12,North Carolina,636681,19293.0,0.18
19656,2021-01-12,North Dakota,94976,5815.0,0.76
19722,2021-01-12,Northern Mariana Islands,128,331.0,0.58
19854,2021-01-12,Oklahoma,337457,17463.0,0.44
19920,2021-01-12,Oregon,127791,4813.0,0.11
19986,2021-01-12,Pennsylvania,739212,10591.0,0.08
20052,2021-01-12,Puerto Rico,118042,7666.0,0.24
20119,2021-01-12,Rhode Island,101393,4141.0,0.39
20185,2021-01-12,South Carolina,359357,3954.0,0.08
20251,2021-01-12,South Dakota,103743,7374.0,0.83
