date,field1,cases,people_fully_vaccinated,people_fully_vaccinated_per_hundred,daily_covid_case,daily_vaccination
2021-01-12,895598,21525891,752970.0,13.69,,
2021-01-13,1085068,21774925,983627.0,18.300000000000004,249034.0,230657.0
2021-01-15,1613070,23606021,1540036.0,30.589999999999996,1831096.0,556409.0
2021-01-19,2385270,24306345,1941688.0,38.55999999999999,700324.0,401652.0
2021-01-20,2578320,24491833,2076125.0,41.52999999999999,185488.0,134437.0
2021-01-21,2771370,24682303,2284022.0,46.499999999999986,190470.0,207897.0
2021-01-22,2964420,24873851,2622491.0,53.65000000000001,191548.0,338469.0
2021-01-23,3157470,25041769,2875357.0,58.20999999999998,167918.0,252866.0
2021-01-24,3350520,25171445,3053661.0,61.68999999999999,129676.0,178304.0
2021-01-25,3543570,25328014,3179022.0,63.76,156569.0,125361.0
2021-01-26,3804739,25487166,3312172.0,67.93999999999997,159152.0,133150.0
2021-01-27,4001364,25642939,3604588.0,73.41999999999999,155773.0,292416.0
2021-01-28,4197989,25809117,4038080.0,81.06999999999998,166178.0,433492.0
2021-01-29,4394614,25973732,4530217.0,90.68000000000002,164615.0,492137.0
2021-01-30,4591239,26107532,4986546.0,98.88,133800.0,456329.0
2021-01-31,4787864,26221333,5362830.0,105.94000000000004,113801.0,376284.0
2021-02-01,4984489,26363188,5627880.0,111.08000000000003,141855.0,265050.0
2021-02-02,5181114,26478424,5760754.0,113.92999999999999,115236.0,132874.0
2021-02-03,5377739,26598610,6104332.0,119.34999999999997,120186.0,343578.0
2021-02-04,5574364,26724243,6566353.0,128.35999999999999,125633.0,462021.0
2021-02-05,5770989,26853745,7106884.0,139.09999999999997,129502.0,540531.0
2021-02-06,5967614,26958695,7868352.0,153.40999999999997,104950.0,761468.0
2021-02-07,6164239,27045977,8643573.0,165.64000000000001,87282.0,775221.0
2021-02-08,6360864,27138963,8995988.0,171.72999999999993,92986.0,352415.0
2021-02-09,6557489,27235341,9311106.0,176.48999999999995,96378.0,315118.0
2021-02-10,6754114,27330314,9904248.0,185.83000000000004,94973.0,593142.0
2021-02-11,6950739,27435949,10583653.0,197.35,105635.0,679405.0
2021-02-12,7147364,27535578,11436280.0,210.99999999999994,99629.0,852627.0
2021-02-13,7343989,27620237,12384912.0,227.48000000000002,84659.0,948632.0
2021-02-14,7540614,27684018,13320234.0,243.43999999999997,63781.0,935322.0
2021-02-16,7933864,27803826,14227823.0,258.63,119808.0,907589.0
2021-02-17,8130489,27873987,14670513.0,265.75999999999993,70161.0,442690.0
2021-02-18,8327114,27945779,15306688.0,277.68,71792.0,636175.0
2021-02-19,8523739,28023791,16980370.0,312.05999999999995,78012.0,1673682.0
2021-02-20,8720364,28093512,17833791.0,328.71000000000004,69721.0,853421.0
2021-02-21,8916989,28148692,18798857.0,343.8,55180.0,965066.0
2021-02-22,9113614,28208159,19370930.0,351.85,59467.0,572073.0
2021-02-23,9310239,28280068,19814388.0,359.0799999999999,71909.0,443458.0
2021-02-24,9506864,28354261,20536186.0,371.4899999999999,74193.0,721798.0
2021-02-25,9703489,28432143,21404488.0,387.17,77882.0,868302.0
2021-02-26,9900114,28510461,22455836.0,405.0899999999999,78318.0,1051348.0
2021-02-27,10096739,28573136,23531247.0,425.53999999999996,62675.0,1075411.0
2021-02-28,10293364,28624042,24603376.0,444.02000000000004,50906.0,1072129.0
