State,TotalArea,Pop,cases,deaths
Alaska,665384,724357,50111,215
Texas,268596,29730311,1989821,30720
California,163696,39613493,2770396,30381
Montana,147040,1085004,86757,1057
New Mexico,121590,2105005,157087,2766
Arizona,113990,7520103,627771,10147
Nevada,110572,3185786,250471,3503
Colorado,104094,5893634,364815,5291
Oregon,98379,4289439,126607,1628
Wyoming,97813,581075,47395,489
Michigan,96714,9992427,565231,14183
Minnesota,86936,5706398,437620,5779
Utah,84897,3310774,307502,1400
Idaho,83569,1860123,150557,1552
Kansas,82278,2917224,250421,3255
Nebraska,77348,1951996,177655,1835
South Dakota,77116,896581,103499,1585
Washington,71298,7796941,281071,3793
North Dakota,70698,770026,94838,1360
Oklahoma,69899,3990443,335247,2775
Missouri,69707,6169038,459493,6336
Florida,65758,21944577,1488578,23070
Wisconsin,65496,5852490,551942,5576
Georgia,59425,10830007,740078,11113
Illinois,57914,12569321,1036450,19365
Iowa,56273,3167974,297774,4139
New York,54555,19299981,1150028,39404
North Carolina,53819,10701022,631345,7635
Arkansas,53179,3033946,256344,4081
Alabama,52420,4934193,404000,5347
Louisiana,52378,4627002,348234,7918
Mississippi,48432,2966407,240309,5186
Pennsylvania,46054,12804123,731967,17861
Ohio,44826,11714618,784957,9702
Virginia,42775,8603985,403386,5393
Tennessee,42144,6944260,645378,7795
Kentucky,40408,4480713,309414,3247
Indiana,36420,6805663,570355,9016
Maine,35380,1354522,29611,438
South Carolina,32020,5277830,357654,5826
West Virginia,24230,1767859,102282,1594
Maryland,12406,6065436,309874,6301
Hawaii,10932,1406430,23462,306
Massachusetts,10554,6912239,437042,13206
Vermont,9616,623251,9078,156
New Hampshire,9349,1372203,52307,869
New Jersey,8723,8874520,590165,19932
Connecticut,5543,3552821,213358,6416
Delaware,2489,990334,65827,986
Rhode Island,1545,1061509,100607,1947
