State,wage
Alabama,0
Alaska,10.19
Arizona,12
Arkansas,10
California,13
Colorado,12
Connecticut,11
Delaware,9.25
District of Columbia,14
Florida,8.56
Georgia,5.15
Guam,8.25
Hawaii,10.1
Idaho,7.25
Illinois,9.25
Indiana,7.25
Iowa,7.25
Kansas,7.25
Kentucky,7.25
Louisiana,0
Maine,12
Maryland,11
Massachusetts,12.75
Michigan,9.65
Minnesota,8.15
Mississippi,0
Missouri,9.45
Montana,8.65
Nebraska,9
Nevada,7.25
New Hampshire,7.25
New Jersey,11
New Mexico,9
New York,11.8
North Carolina,7.25
North Dakota,7.25
Ohio,8.7
Oklahoma,2
Oregon,11.25
Pennsylvania,7.25
Puerto Rico,5.08
Rhode Island,10.5
South Carolina,0
South Dakota,9.3
Tennessee,0
Texas,7.25
U.S. Virgin Islands,10.5
Utah,7.25
Vermont,10.96
Virginia,7.25
Washington,13.5
West Virginia,8.75
Wisconsin,7.25
Wyoming,5.15
