,date_month,state,cases,people_fully_vaccinated
0,20-02,Arizona,1,0.0
1,20-02,California,7,0.0
2,20-02,Illinois,2,0.0
3,20-02,Massachusetts,1,0.0
4,20-02,Texas,2,0.0
5,20-02,Washington,1,0.0
6,20-02,Wisconsin,1,0.0
7,20-03,Alabama,23,0.0
8,20-03,Alaska,1,0.0
9,20-03,Arizona,13,0.0
10,20-03,Arkansas,16,0.0
11,20-03,California,478,0.0
12,20-03,Colorado,136,0.0
13,20-03,Connecticut,26,0.0
14,20-03,Delaware,7,0.0
15,20-03,District of Columbia,17,0.0
16,20-03,Florida,109,0.0
17,20-03,Georgia,97,0.0
18,20-03,Guam,3,0.0
19,20-03,Hawaii,7,0.0
20,20-03,Idaho,5,0.0
21,20-03,Illinois,94,0.0
22,20-03,Indiana,19,0.0
23,20-03,Iowa,22,0.0
24,20-03,Kansas,9,0.0
25,20-03,Kentucky,21,0.0
26,20-03,Louisiana,103,0.0
27,20-03,Maine,12,0.0
28,20-03,Maryland,32,0.0
29,20-03,Massachusetts,164,0.0
30,20-03,Michigan,53,0.0
31,20-03,Minnesota,35,0.0
32,20-03,Mississippi,10,0.0
33,20-03,Missouri,5,0.0
34,20-03,Montana,6,0.0
35,20-03,Nebraska,31,0.0
36,20-03,Nevada,26,0.0
37,20-03,New Hampshire,13,0.0
38,20-03,New Jersey,98,0.0
39,20-03,New Mexico,17,0.0
40,20-03,New York,732,0.0
41,20-03,North Carolina,32,0.0
42,20-03,North Dakota,1,0.0
43,20-03,Ohio,37,0.0
44,20-03,Oklahoma,8,0.0
45,20-03,Oregon,39,0.0
46,20-03,Pennsylvania,68,0.0
47,20-03,Puerto Rico,5,0.0
48,20-03,Rhode Island,20,0.0
49,20-03,South Carolina,28,0.0
50,20-03,South Dakota,9,0.0
51,20-03,Tennessee,39,0.0
52,20-03,Texas,80,0.0
53,20-03,Utah,29,0.0
54,20-03,Vermont,8,0.0
55,20-03,Virgin Islands,1,0.0
56,20-03,Virginia,45,0.0
57,20-03,Washington,675,0.0
58,20-03,Wisconsin,33,0.0
59,20-03,Wyoming,3,0.0
60,20-04,Alabama,4241,0.0
61,20-04,Alaska,291,0.0
62,20-04,Arizona,3962,0.0
63,20-04,Arkansas,1599,0.0
64,20-04,California,27107,0.0
65,20-04,Colorado,8280,0.0
66,20-04,Connecticut,14755,0.0
67,20-04,Delaware,2014,0.0
68,20-04,District of Columbia,2197,0.0
69,20-04,Florida,22526,0.0
70,20-04,Georgia,14583,0.0
71,20-04,Guam,750,0.0
72,20-04,Hawaii,524,0.0
73,20-04,Idaho,1587,0.0
74,20-04,Illinois,24593,0.0
75,20-04,Indiana,9030,0.0
76,20-04,Iowa,1995,0.0
77,20-04,Kansas,1503,0.0
78,20-04,Kentucky,2295,0.0
79,20-04,Louisiana,21951,0.0
80,20-04,Maine,770,0.0
81,20-04,Maryland,10096,0.0
82,20-04,Massachusetts,29918,0.0
83,20-04,Michigan,27894,0.0
84,20-04,Minnesota,1809,0.0
85,20-04,Mississippi,3360,0.0
86,20-04,Missouri,4895,0.0
87,20-04,Montana,404,0.0
88,20-04,Nebraska,994,0.0
89,20-04,Nevada,3212,0.0
90,20-04,New Hampshire,1139,0.0
91,20-04,New Jersey,71030,0.0
92,20-04,New Mexico,1484,0.0
93,20-04,New York,217130,0.0
94,20-04,North Carolina,5123,0.0
95,20-04,North Dakota,365,0.0
96,20-04,Northern Mariana Islands,13,0.0
97,20-04,Ohio,7791,0.0
98,20-04,Oklahoma,2263,0.0
99,20-04,Oregon,1663,0.0
100,20-04,Pennsylvania,26804,0.0
101,20-04,Puerto Rico,974,0.0
102,20-04,Rhode Island,3529,0.0
103,20-04,South Carolina,3656,0.0
104,20-04,South Dakota,1168,0.0
105,20-04,Tennessee,5864,0.0
106,20-04,Texas,16106,0.0
107,20-04,Utah,2549,0.0
108,20-04,Vermont,759,0.0
109,20-04,Virgin Islands,51,0.0
110,20-04,Virginia,6502,0.0
111,20-04,Washington,10806,0.0
112,20-04,West Virginia,725,0.0
113,20-04,Wisconsin,3721,0.0
114,20-04,Wyoming,392,0.0
115,20-05,Alabama,11373,0.0
116,20-05,Alaska,388,0.0
117,20-05,Arizona,13169,0.0
118,20-05,Arkansas,4463,0.0
119,20-05,California,77015,0.0
120,20-05,Colorado,21207,0.0
121,20-05,Connecticut,36085,0.0
122,20-05,Delaware,7373,0.0
123,20-05,District of Columbia,6871,0.0
124,20-05,Florida,44130,0.0
125,20-05,Georgia,35242,0.0
126,20-05,Guam,1123,0.0
127,20-05,Hawaii,628,0.0
128,20-05,Idaho,2389,0.0
129,20-05,Illinois,90528,0.0
130,20-05,Indiana,27281,0.0
131,20-05,Iowa,14049,0.0
132,20-05,Kansas,8006,0.0
133,20-05,Kentucky,7578,0.0
134,20-05,Louisiana,33903,0.0
135,20-05,Maine,1603,0.0
136,20-05,Maryland,37105,0.0
137,20-05,Massachusetts,83421,0.0
138,20-05,Michigan,49982,0.0
139,20-05,Minnesota,14240,0.0
140,20-05,Mississippi,10801,0.0
141,20-05,Missouri,10567,0.0
142,20-05,Montana,466,0.0
143,20-05,Nebraska,9766,0.0
144,20-05,Nevada,6733,0.0
145,20-05,New Hampshire,3464,0.0
146,20-05,New Jersey,143905,0.0
147,20-05,New Mexico,5662,0.0
148,20-05,New York,350951,0.0
149,20-05,North Carolina,17190,0.0
150,20-05,North Dakota,1761,0.0
151,20-05,Northern Mariana Islands,19,0.0
152,20-05,Ohio,26956,0.0
153,20-05,Oklahoma,5086,0.0
154,20-05,Oregon,3541,0.0
155,20-05,Pennsylvania,64178,0.0
156,20-05,Puerto Rico,2542,0.0
157,20-05,Rhode Island,12219,0.0
158,20-05,South Carolina,8407,0.0
159,20-05,South Dakota,3887,0.0
160,20-05,Tennessee,16917,0.0
161,20-05,Texas,46987,0.0
162,20-05,Utah,6930,0.0
163,20-05,Vermont,933,0.0
164,20-05,Virgin Islands,69,0.0
165,20-05,Virginia,28672,0.0
166,20-05,Washington,19131,0.0
167,20-05,West Virginia,1448,0.0
168,20-05,Wisconsin,12037,0.0
169,20-05,Wyoming,716,0.0
170,20-06,Alabama,26272,0.0
171,20-06,Alaska,738,0.0
172,20-06,Arizona,37005,0.0
173,20-06,Arkansas,12917,0.0
174,20-06,California,155662,0.0
175,20-06,Colorado,29284,0.0
176,20-06,Connecticut,45235,0.0
177,20-06,Delaware,10340,0.0
178,20-06,District of Columbia,9799,0.0
179,20-06,Florida,77318,0.0
180,20-06,Georgia,55505,0.0
181,20-06,Guam,1155,0.0
182,20-06,Hawaii,724,0.0
183,20-06,Idaho,3472,0.0
184,20-06,Illinois,134247,0.0
185,20-06,Indiana,41422,0.0
186,20-06,Iowa,24110,0.0
187,20-06,Kansas,11516,0.0
188,20-06,Kentucky,12863,0.0
189,20-06,Louisiana,47284,0.0
190,20-06,Maine,2810,0.0
191,20-06,Maryland,62653,0.0
192,20-06,Massachusetts,105690,0.0
193,20-06,Michigan,66302,0.0
194,20-06,Minnesota,30724,0.0
